name,code
AK홀딩스,006840
GS,078930
GS글로벌,001250
HDC현대산업개발,294870
KC그린홀딩스,009440
LG이노텍,011070
LG전자,066570
LS산전,010120
OCI,010060
S&TC,100840
S&T모티브,064960
SK네트웍스,001740
SK이노베이션,096770
STX,011810
WISCOM,024070
갤럭시아에스엠,011420
경동인베스트,012320
고려아연,010130
광명전기,017040
국보,001140
극동유화,014530
까뮤이앤씨,013700
남양유업,003920
대림비앤코,005750
대영포장,014160
대한해운,005880
동아쏘시오홀딩스,000640
동양,001520
동화약품,000020
두산,000150
디와이,013570
마니커,027740
메리츠금융지주,138040
모두투어리츠,204210
부국증권,001270
삼성SDI,006400
삼성바이오로직스,207940
삼성출판사,068290
삼성화재해상보험,000810
삼영전자공업,005680
삼영화학공업,003720
상상인증권,001290
선도전기,007610
선진,136490
세방전지,004490
신한알파리츠,293940
신한지주,055550
에넥스,011090
에스원,012750
원림,005820
윌비스,008600
이구산업,025820
인터지스,129260
일동제약,249420
제일약품,271980
제일연마,001560
제일파마홀딩스,002620
제주항공,089590
조흥,002600
지역난방공사,071320
진도,088790
진양폴리우레탄,010640
컨버즈,109070
코오롱인더,120110
태경산업,015890
태광산업,003240
태양금속공업,004100
토니모리,214420
포스코강판,058430
포스코케미칼,003670
필룩스,033180
한국공항,005430
한국제지,002300
한국종합기술,023350
한국철강,104700
한국패러랠,168490
한라홀딩스,060980
한미약품,128940
한솔로지스틱스,009180
한일철강,002220
한일현대시멘트,006390
한창제지,009460
한화갤러리아타임월드,027390
한화생명,088350
현대건설,000720
현대건설기계,267270
현대모비스,012330
현대비앤지스틸,004560
현대엘리베이터,017800
현대차증권,001500
현대홈쇼핑,057050
호전실업,111110
호텔신라,008770
효성중공업,298040
CJ프레시웨이,051500
CSA 코스믹,083660
DMS,068790
EDGC,245620
GH신소재,130500
GST,083450
GS홈쇼핑,028150
JW신약,067290
KB오토시스,024120
KG모빌리언스,046440
SK5호스팩,337450
SK6호스팩,340350
THE E&M,089230
TJ미디어,032540
YW,051390
갤럭시아컴즈,094480
경창산업,024910
고려시멘트,198440
골드퍼시픽,038530
골프존,215000
교보8호스팩,307280
그리티,204020
글로본,019660
나노브릭,286750
나노캠텍,091970
나스미디어,089600
네오티스,085910
네이처셀,007390
녹십자셀,031390
뉴인텍,012340
뉴프렉스,085670
대봉엘에스,078140
대유,290380
대유에이피,290120
대한약품,023910
동구바이오제약,006620
동양파일,228340
디에이피,066900
디엔에이링크,127120
디엔에프,092070
디오,039840
디지틀조선,033130
디케이앤디,263020
램테크놀러지,171010
레드캡투어,038390
루멘스,038060
루미마이크로,082800
링크제니시스,219420
매일홀딩스,005990
메디톡스,086900
메지온,140410
메탈라이프,327260
모바일리더,100030
모비스,250060
모트렉스,118990
미래생명자원,218150
바디텍메드,206640
바이넥스,053030
브이티지엠피,018290
비에이치아이,083650
삼보판지,023600
삼아제약,009300
상지카일룸,042940
서암기계공업,100660
서전기전,189860
세보엠이씨,011560
세코닉스,053450
셀루메드,049180
셀리드,299660
셀바스헬스케어,208370
소프트센,032680
스페코,013810
신테카바이오,226330
심텍,222800
싸이토젠,217330
썸에이지,208640
씨케이에이치,900120
아나패스,123860
아바텍,149950
아이씨디,040910
아이원스,114810
아이티센,124500
알리코제약,260660
알에프텍,061040
알테오젠,196170
알티캐스트,085810
